Feature,Importance
INSTAL_PAYMENT_PERC_SUM,0.008041085003312132
APPROVED_DAYS_DECISION_MIN,0.007988336058587758
OCCUPATION_TYPE_Laborers,0.007936428144342875
PREV_DAYS_DECISION_MIN,0.007881701146894057
APPROVED_APP_CREDIT_PERC_MAX,0.00784970192931881
PREV_PRODUCT_COMBINATION_POSindustrywithinterest_MEAN,0.007807705894479125
OCCUPATION_TYPE_Corestaff,0.007778052982309294
APPROVED_RATE_DOWN_PAYMENT_MAX,0.007741833733478574
REGION_RATING_CLIENT_W_CITY,0.007675348074310474
INCOME_PER_PERSON,0.007535367203350406
PREV_CHANNEL_TYPE_APCashloan_MEAN,0.007321700184472095
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,0.007185165752452457
APPROVED_DAYS_DECISION_MAX,0.006879642555621066
PREV_PRODUCT_COMBINATION_CashStreetlow_MEAN,0.0068689638569744095
OCCUPATION_TYPE_Drivers,0.0065227169053339
ACTIVE_AMT_CREDIT_SUM_SUM,0.0064152519639783375
APPROVED_HOUR_APPR_PROCESS_START_MEAN,0.006311519132807423
DEF_60_CNT_SOCIAL_CIRCLE,0.006288570848139792
BURO_CREDIT_TYPE_Carloan_MEAN,0.006253896396550578
PREV_HOUR_APPR_PROCESS_START_MEAN,0.006052340432687008
INSTAL_PAYMENT_DIFF_MAX,0.0058194704845972445
ORGANIZATION_TYPE_School,0.0057469902491667614
FLAG_DOCUMENT_16,0.005603317801804788
APPROVED_AMT_CREDIT_MAX,0.005491487736759724
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,0.005459535739279728
ACTIVE_AMT_CREDIT_SUM_MAX,0.005285295409755163
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,0.005243926261095776
YEARS_BEGINEXPLUATATION_MEDI,0.005242685175655639
APPROVED_AMT_GOODS_PRICE_MAX,0.0052156337268586825
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,0.005163550203632309
APPROVED_APP_CREDIT_PERC_MEAN,0.00509126476364976
BURO_DAYS_CREDIT_ENDDATE_MEAN,0.005086812261845863
YEARS_BEGINEXPLUATATION_AVG,0.005024158230951483
BURO_DAYS_CREDIT_UPDATE_MEAN,0.005020506429775263
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,0.004942047781405782
BURO_AMT_CREDIT_SUM_SUM,0.004856809176895631
INSTAL_DPD_SUM,0.004840665687944544
BURO_DAYS_CREDIT_MIN,0.004809658619774277
CLOSED_DAYS_CREDIT_VAR,0.004808864180054386
BURO_AMT_CREDIT_SUM_MAX,0.004690108428800837
PREV_CODE_REJECT_REASON_HC_MEAN,0.0044140009243515054
PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,0.00437443235489652
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,0.004370349461123938
REGION_RATING_CLIENT,0.004349985701264735
CLOSED_AMT_CREDIT_SUM_MEAN,0.0043294803419839135
PREV_PRODUCT_COMBINATION_CashXSellmiddle_MEAN,0.004302501075796869
PREV_HOUR_APPR_PROCESS_START_MIN,0.004204214406837754
PREV_CHANNEL_TYPE_Channelofcorporatesales_MEAN,0.004170806937026469
BURO_DAYS_CREDIT_ENDDATE_MIN,0.004130595937791345
PREV_NAME_GOODS_CATEGORY_PhotoCinemaEquipment_MEAN,0.004120097532154081
